Run,Sample,Layout
SRR1735200,SLKEN0029.0,PE
SRR1735201,G3814.2,PE
SRR1735202,G5226.3,PE
SRR1735203,G5565.1,PE
SRR1735204,G4700.1,PE
SRR1735205,G5956.1,PE
SRR1735206,G5977.1,PE
SRR1735207,G3936.1,PE
SRR1735208,G4999.1,PE
SRR1735209,G4744.1,PE
SRR1735210,G5112.2,PE
SRR1735211,G5585.1,PE
SRR1735212,G5118.1,PE
SRR1735213,G5998.1,PE
SRR1735214,G4701.1,PE
SRR1735215,G4386.3,PE
SRR1735216,G4929.1,PE
SRR1735217,G4880.2,PE
SRR1735218,G3757.5,PE
SRR1735219,G5008.1,PE
SRR1735220,G4956.2,PE
SRR1735221,G5109.1,PE
SRR1735222,G4861.1,PE
SRR1735223,G4852.1,PE
SRR1735224,G5226.4,PE
SRR1735225,G5649.1,PE
SRR1735226,G4763.2,PE
SRR1735227,G5981.1,PE
SRR1735228,G4733.1,PE
SRR1735229,G4649.1,PE
SRR1735230,G4583.2,PE
SRR1735231,G5992.1,PE
SRR1735232,SLKEN0025.0,PE
SRR1735233,G5796.2,PE
SRR1735234,G6060.1,PE
SRR1735235,G5849.1,PE
SRR1735236,G3851.2,PE
SRR1735237,G4736.1,PE
SRR1735238,G4950.2,PE
SRR1735239,G5617.1,PE
SRR1735240,G3943.1,PE
SRR1735241,G5039.1,PE
SRR1735242,G5223.1,PE
SRR1735243,G3838.2,PE
SRR1735244,G3817.2,PE
SRR1735245,G4955.1,PE
SRR1735246,G3894.1,PE
SRR1735247,G4731.1,PE
SRR1735248,G5639.1,PE
SRR1735249,G5301.3,PE
SRR1735250,G5119.1,PE
SRR1735251,G3889.1,PE
SRR1735252,G5466.2,PE
SRR1735253,G5045.1,PE
SRR1735254,G4750.1,PE
SRR1735255,G4818.3,PE
SRR1735256,SLKEN0009.0,PE
SRR1735257,G6104.1,PE
SRR1735258,G4719.1,PE
SRR1735259,G5897.1,PE
SRR1735260,G4876.2,PE
SRR1735261,G3840.2,PE
SRR1735262,G4956.1,PE
SRR1735263,G3917.1,PE
SRR1735264,G5855.1,PE
SRR1735265,G5684.2,PE
SRR1972602,G3769.5,PE
SRR1972603,G3789.7,PE
SRR1972604,G3794.3,PE
